City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,kodiak,57.79,-152.4072,2.73,93,40,7.2,US,1714189557
229,tamandare,-8.7597,-35.1047,26.73,80,99,3.45,BR,1714189558
230,rafraf,37.1904,10.1837,13.17,86,94,6.52,TN,1714189558
231,pokrovsk,48.282,37.1758,16.6,77,50,1.7,UA,1714189423
232,pirallahi,40.4723,50.333,18.08,56,0,1.38,AZ,1714189559
233,fortuna,40.5982,-124.1573,11.48,92,75,4.12,US,1714189560
234,kayangel,8.0823,134.7173,28.61,81,65,8.07,PW,1714189560
235,urangan,-25.3,152.9,24.0,74,15,4.92,AU,1714189561
236,bintulu,3.1667,113.0333,32.23,70,40,1.54,MY,1714189561
237,reggane,26.7158,0.1714,26.25,22,76,5.44,DZ,1714189479
238,kabinda,-6.1333,24.4833,20.15,95,100,2.13,CD,1714189562
239,changzhou,31.7833,119.9667,23.95,57,28,4.5,CN,1714189304
240,warmbad,-28.45,18.7333,20.42,30,16,4.74,NA,1714189564
241,saint croix,17.7397,-64.7388,22.75,94,100,1.79,VI,1714189505
242,tiksi,71.6872,128.8694,-11.86,77,78,4.54,RU,1714189565
243,murzuq,25.9155,13.9184,22.61,19,3,4.81,LY,1714189565
244,sabang,5.8933,95.3214,29.43,74,73,1.88,ID,1714189566
245,raja,8.4596,25.678,27.08,49,86,3.5,SS,1714189566
246,lawton,34.6087,-98.3903,22.13,65,0,5.66,US,1714189567
247,tsiombe,-25.3,45.4833,21.98,94,17,2.86,MG,1714189567
248,carnot,4.9409,15.8665,21.48,90,84,0.98,CF,1714189568
249,gallup,35.5281,-108.7426,5.91,75,100,13.38,US,1714189520
250,kristiansund,63.1115,7.732,3.36,81,75,1.54,NO,1714189569
251,nanao,37.05,136.9667,25.18,54,100,0.79,JP,1714189569
252,peniche,39.3558,-9.3811,12.28,83,60,13.13,PT,1714189570
253,tralee,52.2704,-9.7026,2.52,94,28,2.46,IE,1714189571
254,barsi,18.2333,75.7,35.08,27,0,5.94,IN,1714189571
255,hermanus,-34.4187,19.2345,16.56,85,30,9.07,ZA,1714189572
256,phrai bueng,14.7483,104.3626,38.82,30,5,4.1,TH,1714189387
257,nizhneangarsk,55.7833,109.55,-3.89,81,97,1.79,RU,1714189573
258,booue,-0.0921,11.9385,23.68,98,100,0.75,GA,1714189574
259,bikenibeu village,1.3673,173.1241,31.98,70,40,6.17,KI,1714189575
260,eyl,7.9803,49.8164,29.13,71,99,2.88,SO,1714189576
261,ta`u,-14.2336,-169.5144,29.11,75,31,6.85,AS,1714189578
